"target","source_tag","method","accuracy_pct","f1_pct","bacc_pct","kappa_pct","samples","run_dir"
"a","multi_bcdefghi_to_a","adapt1d","75.5759","73.0841","76.8049","70.7157","7423","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_bcdefghi_to_a\adapt1d\20260707-125233"
"a","multi_bcdefghi_to_a","cotta","83.8206","83.5228","84.2702","80.5379","7423","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_bcdefghi_to_a\cotta\20260707-125025"
"a","multi_bcdefghi_to_a","dynatta1d","57.012","56.0487","56.7407","48.321","7423","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_bcdefghi_to_a\dynatta1d\20260707-125227"
"a","multi_bcdefghi_to_a","eata","56.985","56.0616","56.7764","48.3027","7423","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_bcdefghi_to_a\eata\20260707-125245"
"a","multi_bcdefghi_to_a","lame","65.6204","61.9458","69.4935","58.8368","7423","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_bcdefghi_to_a\lame\20260707-125033"
"a","multi_bcdefghi_to_a","plta","78.5127","77.2824","78.8846","74.1681","7423","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_bcdefghi_to_a\plta\20260707-125045"
"a","multi_bcdefghi_to_a","pltamy","86.2455","86.0443","86.6951","83.4515","7423","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_bcdefghi_to_a\pltamy\20260707-125125"
"a","multi_bcdefghi_to_a","predBN","56.9446","55.9936","56.6883","48.2469","7423","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_bcdefghi_to_a\predBN\20260707-125009"
"a","multi_bcdefghi_to_a","predBN+","72.9085","72.5066","74.48","67.4219","7423","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_bcdefghi_to_a\predBN+\20260707-125014"
"a","multi_bcdefghi_to_a","sar","57.2275","56.2594","56.922","48.5756","7423","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_bcdefghi_to_a\sar\20260707-125037"
"a","multi_bcdefghi_to_a","source","65.5261","61.8531","69.3924","58.7241","7423","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_bcdefghi_to_a\source\20260707-124959"
"a","multi_bcdefghi_to_a","t3a","69.8235","64.8658","73.2889","63.849","7423","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_bcdefghi_to_a\t3a\20260707-125003"
"a","multi_bcdefghi_to_a","tent","57.268","56.3278","56.9554","48.616","7423","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_bcdefghi_to_a\tent\20260707-125018"
"a","multi_bcdefghi_to_a","tipi","83.7936","83.5004","84.2352","80.5046","7423","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_bcdefghi_to_a\tipi\20260707-125239"
"a","multi_bcdefghi_to_a","tribe1d","85.4102","85.1492","85.6711","82.445","7423","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_bcdefghi_to_a\tribe1d\20260707-125219"
"a","multi_bcdefghi_to_a","ttime","56.9716","56.0903","56.6779","48.2715","7423","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_bcdefghi_to_a\ttime\20260707-125252"
"b","multi_acdefghi_to_b","adapt1d","82.7233","81.48","79.7137","78.9041","8798","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_acdefghi_to_b\adapt1d\20260707-103443"
"b","multi_acdefghi_to_b","cotta","94.2714","94.2285","93.6971","93.0389","8798","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_acdefghi_to_b\cotta\20260707-103410"
"b","multi_acdefghi_to_b","dynatta1d","71.6413","71.4764","72.9948","65.7118","8798","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_acdefghi_to_b\dynatta1d\20260707-103437"
"b","multi_acdefghi_to_b","eata","70.2773","70.2552","71.4484","64.0752","8798","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_acdefghi_to_b\eata\20260707-103455"
"b","multi_acdefghi_to_b","lame","94.6124","94.5891","93.7627","93.4504","8798","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_acdefghi_to_b\lame\20260707-103417"
"b","multi_acdefghi_to_b","plta","92.8052","92.7647","92.3093","91.2718","8798","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_acdefghi_to_b\plta\20260707-102559"
"b","multi_acdefghi_to_b","pltamy","97.0221","97.0076","96.5164","96.3845","8798","D:\大文件夹\EEG-PLTA-main\test-time-evaluation\HHAR_AB_batch400_compare\Seed5\multi_acdefghi_to_b\pltamy\20260707-102643"
