Method,S0,S1,S2,S3,S4,S5,S6,S7,Avg
source,71.51,71.84,79.32,80.75,80.99,86.94,77.07,37.96,73.30
t3a,64.24,71.24,71.80,73.72,71.39,80.65,79.86,36.33,68.65
predBN,56.48,59.90,57.66,66.99,65.72,59.82,58.06,59.49,60.52
predBN+,68.47,69.55,77.37,78.15,75.73,74.56,78.51,50.00,71.54
tent,56.39,60.30,57.66,66.89,65.72,59.63,57.95,59.29,60.48
cotta,72.00,69.85,80.00,82.58,82.00,88.11,75.00,45.10,74.33
lame,71.71,71.84,79.41,80.56,81.29,87.13,77.17,37.76,73.36
sar,56.29,60.10,57.17,67.08,65.62,59.53,58.06,59.29,60.39
plta,72.79,63.78,77.37,72.57,78.06,81.63,71.38,68.88,73.31
tribe1d,71.32,72.34,78.15,80.75,80.28,85.66,72.93,53.57,74.37
dynatta1d,56.48,60.00,57.66,66.99,65.82,59.82,58.06,59.49,60.54
adapt1d,70.04,65.57,76.10,68.43,78.06,84.09,74.59,48.67,70.69
tipi,72.00,69.85,79.71,82.68,82.31,88.11,74.79,44.90,74.29
eata,56.48,60.30,57.17,63.62,64.71,57.66,57.64,59.29,59.61
ttime,56.68,60.00,57.56,66.99,65.72,59.82,57.95,59.39,60.51
pltamy,72.20,70.75,80.10,87.78,86.75,92.53,79.34,68.98,79.80
